c_number	Ko_ID	KEGG_pathway_def	Compound_def
C04785	ko00592	alpha-Linolenic acid metabolism	13(S)-HPOT; (9Z,11E,15Z)-(13S)-Hydroperoxyoctadeca-9,11,15-trienoate; (9Z,11E,15Z)-(13S)-13-Hydroper
C06427	ko00592	alpha-Linolenic acid metabolism	(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate;
C08491	ko00592	alpha-Linolenic acid metabolism	(-)-Jasmonic acid; Jasmonic acid; {(1R,2R)-3-Oxo-2-[(Z)pent-2-enyl]cyclopent-2-enyl}acetic acid; Jas
C08492	ko00592	alpha-Linolenic acid metabolism	3-Hexenol; Leaf alcohol; 3-Hexen-1-ol; (3Z)-3-Hexen-1-ol; cis-3-Hexen-1-ol; (3Z)-Hex-3-en-1-ol
C11512	ko00592	alpha-Linolenic acid metabolism	Methyl jasmonate; (-)-Methyl jasmonate
C16300	ko00592	alpha-Linolenic acid metabolism	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid; 6Z,9Z,
C16308	ko00592	alpha-Linolenic acid metabolism	Traumatic acid; (2E)-Dodecenedioic acid; Dodec-2-enedioic acid; (2E)-Dodec-2-enedioic acid
C16309	ko00592	alpha-Linolenic acid metabolism	Traumatin; (10E)-12-Oxododecenoic acid
C16310	ko00592	alpha-Linolenic acid metabolism	3-Hexenal; (3Z)-Hexenal
C16311	ko00592	alpha-Linolenic acid metabolism	12-Oxo-9(Z)-dodecenoic acid
C16316	ko00592	alpha-Linolenic acid metabolism	13(S)-HOT; (9Z,11E,15Z)-(13S)-Hydroxyoctadeca-9,11,15-trienoate; (9Z,11E,15Z)-(13S)-13-Hydroxyoctade
C16317	ko00592	alpha-Linolenic acid metabolism	(+)-7-Isojasmonic acid
C16318	ko00592	alpha-Linolenic acid metabolism	(+)-7-Isomethyljasmonate
C16319	ko00592	alpha-Linolenic acid metabolism	Etherolenic acid; (9Z,11E,1'E,3'Z)-12-(1',3'-Hexadienyloxy)-9,11-dodecadienoic acid
C16320	ko00592	alpha-Linolenic acid metabolism	Colnelenic acid; (8E)-9-[(1E,3Z,6Z)-Nona-1,3,6-trien-1-yloxy]non-8-enoate
C16321	ko00592	alpha-Linolenic acid metabolism	9(S)-HPOT; (10E,12Z,15Z)-(9S)-9-Hydroperoxyoctadeca-10,12,15-trienoic acid; 9(S)-HpOTrE; (9S,10E,12Z
C16322	ko00592	alpha-Linolenic acid metabolism	9-Oxononanoic acid
C16323	ko00592	alpha-Linolenic acid metabolism	3,6-Nonadienal
C16324	ko00592	alpha-Linolenic acid metabolism	9,10-EOT; 9,10-Epoxyoctadecatrienoic acid; (9S)-(10E,12Z,15Z)-9,10-Epoxyoctadecatri-10,12,15-enoic a
C16325	ko00592	alpha-Linolenic acid metabolism	10-OPDA; 10-Oxo-11,15-phytodienoic acid; (11Z,15Z)-10-Oxo-11,15-phytodienoic acid
C16326	ko00592	alpha-Linolenic acid metabolism	9(S)-HOT; (9S)-(10E,12Z,15Z)-9-Hydroxyoctadecatri-10,12,15-enoic acid; 9(S)-HOTrE
C16327	ko00592	alpha-Linolenic acid metabolism	OPC8-CoA
C16328	ko00592	alpha-Linolenic acid metabolism	trans-2-Enoyl-OPC8-CoA
C16330	ko00592	alpha-Linolenic acid metabolism	3-Oxo-OPC8-CoA
C16331	ko00592	alpha-Linolenic acid metabolism	OPC6-CoA
C16332	ko00592	alpha-Linolenic acid metabolism	trans-2-Enoyl-OPC6-CoA
C16334	ko00592	alpha-Linolenic acid metabolism	3-Oxo-OPC6-CoA
C16335	ko00592	alpha-Linolenic acid metabolism	OPC4-CoA
C16336	ko00592	alpha-Linolenic acid metabolism	trans-2-Enoyl-OPC4-CoA
C16338	ko00592	alpha-Linolenic acid metabolism	3-Oxo-OPC4-CoA
C16339	ko00592	alpha-Linolenic acid metabolism	(+)-7-Isojasmonic acid CoA
C16341	ko00592	alpha-Linolenic acid metabolism	2(R)-HPOT; (2R)-(9Z,12Z,15Z)-2-Hydroperoxyoctadecatri-9,12,15-enoic acid; 2(R)-HpOTrE
C16342	ko00592	alpha-Linolenic acid metabolism	2(R)-HOT; (2R)-(9Z,12Z,15Z)-2-Hydroxyoctadecatri-9,12,15-enoic acid; 2(R)-HOTrE
C16343	ko00592	alpha-Linolenic acid metabolism	Heptadecatrienal; (8Z,11Z,14Z)-8,11,14-Heptadecatrienal
C16344	ko00592	alpha-Linolenic acid metabolism	Norlinolenic acid; (8Z,11Z,14Z)-Heptadecatrienoic acid; (8Z,11Z,14Z)-8,11,14-Heptadecatrienoic acid;
C16345	ko00592	alpha-Linolenic acid metabolism	Volicitin; N-(17-Hydroxylinolenoyl)-L-glutamine
C16346	ko00592	alpha-Linolenic acid metabolism	17-Hydroxylinolenic acid; (9Z,12Z,15Z)-17-Hydroxyoctadecatri-9,12,15-enoic acid
C19757	ko00592	alpha-Linolenic acid metabolism	(3Z)-Hex-3-en-1-yl acetate; (Z)-3-Hexen-1-ol acetate; cis-3-Hexenyl acetate
C21923	ko00592	alpha-Linolenic acid metabolism	9-Hydroxy-12-oxo-10(E),15(Z)-octadecadienoic acid
C21924	ko00592	alpha-Linolenic acid metabolism	9-Hydroxy-12-oxo-15(Z)-octadecenoic acid
C00015	ko00240	Pyrimidine metabolism	UDP; Uridine 5'-diphosphate
C00039	ko00240	Pyrimidine metabolism	DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyri
C00046	ko00240	Pyrimidine metabolism	RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucle
C00055	ko00240	Pyrimidine metabolism	CMP; Cytidine-5'-monophosphate; Cytidylic acid
C00063	ko00240	Pyrimidine metabolism	CTP; Cytidine 5'-triphosphate; Cytidine triphosphate
C00064	ko00240	Pyrimidine metabolism	L-Glutamine; L-2-Aminoglutaramic acid
C00075	ko00240	Pyrimidine metabolism	UTP; Uridine 5'-triphosphate; Uridine triphosphate
C00086	ko00240	Pyrimidine metabolism	Urea; Carbamide
C00099	ko00240	Pyrimidine metabolism	beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate
C00105	ko00240	Pyrimidine metabolism	UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid; Uridylate
C00106	ko00240	Pyrimidine metabolism	Uracil
C00112	ko00240	Pyrimidine metabolism	CDP; Cytidine 5'-diphosphate; Cytidine diphosphate
C00119	ko00240	Pyrimidine metabolism	5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophospha
C00169	ko00240	Pyrimidine metabolism	Carbamoyl phosphate
C00178	ko00240	Pyrimidine metabolism	Thymine; 5-Methyluracil
C00214	ko00240	Pyrimidine metabolism	Thymidine; Deoxythymidine
C00222	ko00240	Pyrimidine metabolism	3-Oxopropanoate; Malonate semialdehyde
C00239	ko00240	Pyrimidine metabolism	dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monopho
C00295	ko00240	Pyrimidine metabolism	Orotate; Orotic acid; Uracil-6-carboxylic acid
C00299	ko00240	Pyrimidine metabolism	Uridine
C00337	ko00240	Pyrimidine metabolism	(S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic
C00363	ko00240	Pyrimidine metabolism	dTDP; Deoxythymidine 5'-diphosphate
C00364	ko00240	Pyrimidine metabolism	dTMP; Thymidine 5'-phosphate; Deoxythymidine 5'-phosphate; Thymidylic acid; 5'-Thymidylic acid; Thym
C00365	ko00240	Pyrimidine metabolism	dUMP; Deoxyuridylic acid; Deoxyuridine monophosphate; Deoxyuridine 5'-phosphate; 2'-Deoxyuridine 5'-
C00380	ko00240	Pyrimidine metabolism	Cytosine
C00383	ko00240	Pyrimidine metabolism	Malonate; Malonic acid; Propanedioic acid
C00429	ko00240	Pyrimidine metabolism	5,6-Dihydrouracil; Dihydro-2,4(1H,3H)-pyrimidinedione; Dihydrouracile; Dihydrouracil; 5,6-Dihydro-2,
C00438	ko00240	Pyrimidine metabolism	N-Carbamoyl-L-aspartate
C00458	ko00240	Pyrimidine metabolism	dCTP; Deoxycytidine 5'-triphosphate; Deoxycytidine triphosphate; 2'-Deoxycytidine 5'-triphosphate
C00459	ko00240	Pyrimidine metabolism	dTTP; Deoxythymidine triphosphate; Deoxythymidine 5'-triphosphate; TTP
C00460	ko00240	Pyrimidine metabolism	dUTP; 2'-Deoxyuridine 5'-triphosphate
C00475	ko00240	Pyrimidine metabolism	Cytidine
C00526	ko00240	Pyrimidine metabolism	Deoxyuridine; 2-Deoxyuridine; 2'-Deoxyuridine
C00672	ko00240	Pyrimidine metabolism	2-Deoxy-D-ribose 1-phosphate; 2-Deoxy-alpha-D-ribose 1-phosphate
C00705	ko00240	Pyrimidine metabolism	dCDP; 2'-Deoxycytidine diphosphate; 2'-Deoxycytidine 5'-diphosphate
C00813	ko00240	Pyrimidine metabolism	Barbiturate; Barbituric acid; Malonylurea
C00881	ko00240	Pyrimidine metabolism	Deoxycytidine; 2'-Deoxycytidine
C00941	ko00240	Pyrimidine metabolism	3',5'-Cyclic CMP; Cytidine 3',5'-cyclic monophosphate
C01013	ko00240	Pyrimidine metabolism	3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracry
C01103	ko00240	Pyrimidine metabolism	Orotidine 5'-phosphate; Orotidylic acid
C01168	ko00240	Pyrimidine metabolism	Pseudouridine 5'-phosphate
C01205	ko00240	Pyrimidine metabolism	(R)-3-Amino-2-methylpropanoate; (R)-3-Aminoisobutyrate; D-3-Aminoisobutanoate; (R)-beta-Aminoisobuty
C01346	ko00240	Pyrimidine metabolism	dUDP; 2'-Deoxyuridine 5'-diphosphate
C01368	ko00240	Pyrimidine metabolism	3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate
C01563	ko00240	Pyrimidine metabolism	Carbamate; Carbamic acid; Aminoformic acid
C02067	ko00240	Pyrimidine metabolism	Pseudouridine
C02170	ko00240	Pyrimidine metabolism	Methylmalonate; Methylmalonic acid
C02354	ko00240	Pyrimidine metabolism	2',3'-Cyclic CMP
C02355	ko00240	Pyrimidine metabolism	2',3'-Cyclic UMP
C02376	ko00240	Pyrimidine metabolism	5-Methylcytosine
C02642	ko00240	Pyrimidine metabolism	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine
C03997	ko00240	Pyrimidine metabolism	5-Hydroxymethyldeoxycytidylate; 5-Hydroxymethyldeoxycytidylic acid; 2'-Deoxy-5-hydroxymethylcytidine
C05281	ko00240	Pyrimidine metabolism	5-Methylbarbiturate; 5-Methylbarbituric acid
C05822	ko00240	Pyrimidine metabolism	3'-CMP; Cytidine 3'-phosphate
C06198	ko00240	Pyrimidine metabolism	P1,P4-Bis(5'-uridyl) tetraphosphate; UppppU
C11038	ko00240	Pyrimidine metabolism	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate
C11039	ko00240	Pyrimidine metabolism	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate
C15607	ko00240	Pyrimidine metabolism	3-Oxo-3-ureidopropanoate; Malonuric acid
C20231	ko00240	Pyrimidine metabolism	(Z)-3-Ureidoacrylate peracid; Ureidoperacrylic acid
C20249	ko00240	Pyrimidine metabolism	(Z)-3-Peroxyaminoacrylate
C20253	ko00240	Pyrimidine metabolism	Aminoacrylate; (Z)-3-Aminoacrylate
C20254	ko00240	Pyrimidine metabolism	Ureidoacrylate; (Z)-3-Ureidoacrylate
C20846	ko00240	Pyrimidine metabolism	3-Oxo-3-ureidoisobutyrate
C21028	ko00240	Pyrimidine metabolism	(R)-5,6-Dihydrothymine; (5R)-Dihydrothymine
C21029	ko00240	Pyrimidine metabolism	(R)-3-Ureidoisobutyrate; (R)-N-Carbamyl-beta-aminoisobutyrate
C22509	ko00240	Pyrimidine metabolism	3',5'-Cyclic UMP; Uridine 3',5'-cyclic monophosphate; cUMP
C00002	ko00998	Biosynthesis of various antibiotics	ATP; Adenosine 5'-triphosphate
C00022	ko00998	Biosynthesis of various antibiotics	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00024	ko00998	Biosynthesis of various antibiotics	Acetyl-CoA; Acetyl coenzyme A
C00025	ko00998	Biosynthesis of various antibiotics	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
C00026	ko00998	Biosynthesis of various antibiotics	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
C00036	ko00998	Biosynthesis of various antibiotics	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxa
C00049	ko00998	Biosynthesis of various antibiotics	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp
C00061	ko00998	Biosynthesis of various antibiotics	FMN; Riboflavin-5-phosphate; Flavin mononucleotide
C00062	ko00998	Biosynthesis of various antibiotics	L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg
C00065	ko00998	Biosynthesis of various antibiotics	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine
C00074	ko00998	Biosynthesis of various antibiotics	Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP
C00077	ko00998	Biosynthesis of various antibiotics	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate
C00082	ko00998	Biosynthesis of various antibiotics	L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine
C00083	ko00998	Biosynthesis of various antibiotics	Malonyl-CoA; Malonyl coenzyme A
C00085	ko00998	Biosynthesis of various antibiotics	D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester
C00088	ko00998	Biosynthesis of various antibiotics	Nitrite
C00092	ko00998	Biosynthesis of various antibiotics	D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester
C00108	ko00998	Biosynthesis of various antibiotics	Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate
C00129	ko00998	Biosynthesis of various antibiotics	Isopentenyl diphosphate; Delta3-Isopentenyl diphosphate; Delta3-Methyl-3-butenyl diphosphate; 3-Meth
C00197	ko00998	Biosynthesis of various antibiotics	3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate
C00251	ko00998	Biosynthesis of various antibiotics	Chorismate; Chorismic acid; (3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxy
C00254	ko00998	Biosynthesis of various antibiotics	Prephenate; Prephenic acid
C00279	ko00998	Biosynthesis of various antibiotics	D-Erythrose 4-phosphate
C00353	ko00998	Biosynthesis of various antibiotics	Geranylgeranyl diphosphate; Geranylgeranyl pyrophosphate; all-trans-Geranylgeranyl diphosphate; all-
C00441	ko00998	Biosynthesis of various antibiotics	L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde
C00448	ko00998	Biosynthesis of various antibiotics	trans,trans-Farnesyl diphosphate; Farnesyl diphosphate; Farnesyl pyrophosphate; 2-trans,6-trans-Farn
C00979	ko00998	Biosynthesis of various antibiotics	O-Acetyl-L-serine; O3-Acetyl-L-serine
C01005	ko00998	Biosynthesis of various antibiotics	O-Phospho-L-serine; L-O-Phosphoserine; 3-Phosphoserine; Dexfosfoserine; 3-Phospho-L-serine
C01179	ko00998	Biosynthesis of various antibiotics	3-(4-Hydroxyphenyl)pyruvate; 4-Hydroxyphenylpyruvate; p-Hydroxyphenylpyruvic acid
C01610	ko00998	Biosynthesis of various antibiotics	Puromycin
C01841	ko00998	Biosynthesis of various antibiotics	Pentalenene
C02247	ko00998	Biosynthesis of various antibiotics	Anthraniloyl-CoA; 2-Aminobenzoyl-CoA
C02798	ko00998	Biosynthesis of various antibiotics	3-Phosphonopyruvate
C03167	ko00998	Biosynthesis of various antibiotics	Phosphonoacetaldehyde; 2-Phosphonoacetaldehyde; 2-Oxoethylphosphonate
C03401	ko00998	Biosynthesis of various antibiotics	L-2,3-Diaminopropanoate; L-2,3-Diaminopropionate; L-2,3-Diaminopropionic acid; L-2,3-Diaminopropanoi
C05933	ko00998	Biosynthesis of various antibiotics	N(omega)-Hydroxyarginine; N(omega)-Hydroxy-L-arginine
C06451	ko00998	Biosynthesis of various antibiotics	2-Hydroxyethylphosphonate; (2-Hydroxyethyl)-phosphonic acid
C06452	ko00998	Biosynthesis of various antibiotics	(S)-2-Hydroxypropylphosphonate
C06454	ko00998	Biosynthesis of various antibiotics	Fosfomycin; Phosphonomycin; (1R,2S)-Epoxypropylphosphonate
C07024	ko00998	Biosynthesis of various antibiotics	3'-Keto-3'-deoxy-ATP
C07025	ko00998	Biosynthesis of various antibiotics	3'-Keto-3'-deoxy-AMP
C07026	ko00998	Biosynthesis of various antibiotics	3'-Amino-3'-deoxy-AMP
C07027	ko00998	Biosynthesis of various antibiotics	N6,N6,O-Tridemethylpuromycin-5'-phosphate
C07028	ko00998	Biosynthesis of various antibiotics	N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate
C07029	ko00998	Biosynthesis of various antibiotics	N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate
C07030	ko00998	Biosynthesis of various antibiotics	N-Acetyl-O-demethylpuromycin-5'-phosphate
C07031	ko00998	Biosynthesis of various antibiotics	N-Acetyl-O-demethylpuromycin
C07032	ko00998	Biosynthesis of various antibiotics	N-Acetylpuromycin
C07044	ko00998	Biosynthesis of various antibiotics	Hydroxyurea; Hydroxycarbamide
C08057	ko00998	Biosynthesis of various antibiotics	Cycloserine; D-Cycloserine
C09668	ko00998	Biosynthesis of various antibiotics	Fumagillin
C10641	ko00998	Biosynthesis of various antibiotics	Aurachin D
C12115	ko00998	Biosynthesis of various antibiotics	3-Amino-4-hydroxybenzoate; 3-Amino-4-hydroxybenzoic acid; 3,4-AHBA
C12212	ko00998	Biosynthesis of various antibiotics	Kanosamine; D-Kanosamine; 3-Amino-3-deoxy-D-glucose
C12213	ko00998	Biosynthesis of various antibiotics	Kanosamine 6-phosphate; D-Kanosamine 6-phosphate
C19814	ko00998	Biosynthesis of various antibiotics	Terpentetriene
C19815	ko00998	Biosynthesis of various antibiotics	Terpentedienyl diphosphate
C19939	ko00998	Biosynthesis of various antibiotics	Pentalen-13-al
C20397	ko00998	Biosynthesis of various antibiotics	Pentalenolactone F
C20399	ko00998	Biosynthesis of various antibiotics	Pentalenolactone D
C20400	ko00998	Biosynthesis of various antibiotics	1-Deoxy-11-oxopentalenate
C20402	ko00998	Biosynthesis of various antibiotics	Neopentalenolactone D
C20403	ko00998	Biosynthesis of various antibiotics	1-Deoxy-11beta-hydroxypentalenate
C20404	ko00998	Biosynthesis of various antibiotics	1-Deoxypentalenate
C20405	ko00998	Biosynthesis of various antibiotics	Pentalenate
C20407	ko00998	Biosynthesis of various antibiotics	Pentalenolactone; Arenaemycin E
C20639	ko00998	Biosynthesis of various antibiotics	O-Ureido-L-serine; (2S)-2-Amino-3-[(carbamoylamino)oxy]propanoate; (2S)-2-Amino-3-(carbamoylamino)ox
C20651	ko00998	Biosynthesis of various antibiotics	O-Ureido-D-serine; (2R)-2-Amino-3-[(carbamoylamino)oxy]propanoate; (2R)-2-Amino-3-(carbamoylamino)ox
C20668	ko00998	Biosynthesis of various antibiotics	3-Dehydro-D-glucose 6-phosphate
C20940	ko00998	Biosynthesis of various antibiotics	L-Dihydroanticapsin
C20941	ko00998	Biosynthesis of various antibiotics	L-Anticapsin; Anticapsin
C20942	ko00998	Biosynthesis of various antibiotics	Bacilysin
C20953	ko00998	Biosynthesis of various antibiotics	3-[(4R)-4-Hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
C20961	ko00998	Biosynthesis of various antibiotics	N3-Fumaroyl-L-2,3-diaminopropanoate; N3-Fumaroyl-(S)-2,3-diaminopropanoate; (2E)-4-{[(2S)-2-Amino-2-
C20962	ko00998	Biosynthesis of various antibiotics	Dapdiamide A; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-valine
C20963	ko00998	Biosynthesis of various antibiotics	Dapdiamide B; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-isoleucine
C20964	ko00998	Biosynthesis of various antibiotics	Dapdiamide C; 3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanyl-L-leucine
C20966	ko00998	Biosynthesis of various antibiotics	3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine
C21085	ko00998	Biosynthesis of various antibiotics	3-[(1E,4R)-4-Hydroxycyclohex-2-en-1-ylidene]-2-oxopropanoate
C21086	ko00998	Biosynthesis of various antibiotics	(3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopropanoate; Epoxy-3E-H2HPP
C21087	ko00998	Biosynthesis of various antibiotics	3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate; Epoxy-4S-H4HPP
C21093	ko00998	Biosynthesis of various antibiotics	Terpentecin
C21140	ko00998	Biosynthesis of various antibiotics	Aurachin B
C21141	ko00998	Biosynthesis of various antibiotics	4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
C21330	ko00998	Biosynthesis of various antibiotics	Aurachin C
C21559	ko00998	Biosynthesis of various antibiotics	N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate
C21646	ko00998	Biosynthesis of various antibiotics	8-Amino-8-demethylriboflavin
C21647	ko00998	Biosynthesis of various antibiotics	Roseoflavin; 8-Demethyl-8-(dimethylamino)riboflavin
C21648	ko00998	Biosynthesis of various antibiotics	8-Demethyl-8-(methylamino)riboflavin
C21803	ko00998	Biosynthesis of various antibiotics	8-Demethyl-8-formylriboflavin 5'-phosphate
C21804	ko00998	Biosynthesis of various antibiotics	8-Carboxy-8-demethylriboflavin 5'-phosphate; 8-Demethyl-8-carboxyriboflavin 5'-phosphate
C21805	ko00998	Biosynthesis of various antibiotics	8-Amino-8-demethylriboflavin 5'-phosphate; 8-Demethyl-8-aminoriboflavin 5'-phosphate
C21873	ko00998	Biosynthesis of various antibiotics	2-Methylquinolin-4-ol; 2-Methyl-4-hydroxyquinoline
C21874	ko00998	Biosynthesis of various antibiotics	Aurachin B epoxide
C21875	ko00998	Biosynthesis of various antibiotics	Aurachin A
C22216	ko00998	Biosynthesis of various antibiotics	Cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate}; HEP-CMP
C22217	ko00998	Biosynthesis of various antibiotics	Cytidine 5'-({hydroxy[(S)-2-hydroxypropyl]phosphonoyl}phosphate); (2S)-HPP-CMP
C22388	ko00998	Biosynthesis of various antibiotics	(2S)-2-Nitrobutanedioate; Nitrosuccinate; 2-Nitrobutanedioate
C22416	ko00998	Biosynthesis of various antibiotics	Cremeomycin; 6-Carboxy-2-diazonio-3-methoxyphenolate
C22425	ko00998	Biosynthesis of various antibiotics	3-Amino-2-hydroxy-4-methoxybenzoate; 3-Amino-2-hydroxy-4-methoxybenzoic acid
C22455	ko00998	Biosynthesis of various antibiotics	3-Amino-2,4-dihydroxybenzoate; 3-Amino-2,4-dihydroxybenzoic acid
C22617	ko00998	Biosynthesis of various antibiotics	(+)-exo-beta-Bergamotene; beta-trans-Bergamotene; (1S,5S,6R)-6-Methyl-2-methylidene-6-(4-methylpent-
C22618	ko00998	Biosynthesis of various antibiotics	Fumagillol; (3R,4S,5S,6R)-5-Methoxy-4-[(2R,3R)-2-methyl-3-(3-methylbut-2-en-1-yl)oxiran-2-yl]-1-oxas
C22619	ko00998	Biosynthesis of various antibiotics	5-Dehydrofumagillol; 5-Keto-fumagillol
C22629	ko00998	Biosynthesis of various antibiotics	5-Dehydro-6-demethoxyfumagillol; 5-Keto-demethoxyfumagillol
C22631	ko00998	Biosynthesis of various antibiotics	5-Dehydro-6-demethoxy-6-hydroxyfumagillol
C22650	ko00998	Biosynthesis of various antibiotics	Prefumagillin
C22651	ko00998	Biosynthesis of various antibiotics	Dodecapentaenoyl-[acyl-carrier protein]; Dodecapentaenoyl-[acp]
C00007	ko00630	Glyoxylate and dicarboxylate metabolism	Oxygen; O2
C00011	ko00630	Glyoxylate and dicarboxylate metabolism	CO2; Carbon dioxide
C00014	ko00630	Glyoxylate and dicarboxylate metabolism	Ammonia; NH3
C00022	ko00630	Glyoxylate and dicarboxylate metabolism	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid
C00024	ko00630	Glyoxylate and dicarboxylate metabolism	Acetyl-CoA; Acetyl coenzyme A
C00025	ko00630	Glyoxylate and dicarboxylate metabolism	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
C00026	ko00630	Glyoxylate and dicarboxylate metabolism	2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid
C00027	ko00630	Glyoxylate and dicarboxylate metabolism	Hydrogen peroxide; H2O2; Oxydol
C00033	ko00630	Glyoxylate and dicarboxylate metabolism	Acetate; Acetic acid; Ethanoic acid
C00036	ko00630	Glyoxylate and dicarboxylate metabolism	Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxa
C00037	ko00630	Glyoxylate and dicarboxylate metabolism	Glycine; Aminoacetic acid; Gly
C00042	ko00630	Glyoxylate and dicarboxylate metabolism	Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
C00048	ko00630	Glyoxylate and dicarboxylate metabolism	Glyoxylate; Glyoxalate; Glyoxylic acid
C00058	ko00630	Glyoxylate and dicarboxylate metabolism	Formate; Methanoic acid; Formic acid
C00064	ko00630	Glyoxylate and dicarboxylate metabolism	L-Glutamine; L-2-Aminoglutaramic acid
C00065	ko00630	Glyoxylate and dicarboxylate metabolism	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine
C00091	ko00630	Glyoxylate and dicarboxylate metabolism	Succinyl-CoA; Succinyl coenzyme A
C00100	ko00630	Glyoxylate and dicarboxylate metabolism	Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A
C00111	ko00630	Glyoxylate and dicarboxylate metabolism	Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate
C00136	ko00630	Glyoxylate and dicarboxylate metabolism	Butanoyl-CoA; Butyryl-CoA
C00149	ko00630	Glyoxylate and dicarboxylate metabolism	(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid
C00158	ko00630	Glyoxylate and dicarboxylate metabolism	Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid
C00160	ko00630	Glyoxylate and dicarboxylate metabolism	Glycolate; Glycolic acid; Hydroxyacetic acid
